20160101, 4.1
20160102, 5.4
20160103, 6.9
20160104, 5.7
20160105, 6.8
20160106, 2.6
20160107, 6.1
20160108, 5.4
20160109, 5.6
20160110, 6.9
20160111, 4.8
20160112, 5.8
20160113, 5
20160114, 3.5
20160115, 2.4
20160116, 2.7
20160117, -1
20160118, -3.3
20160119, -2.5
20160120, 1.2
20160121, -1.2
20160122, 0.9
20160123, 6.6
20160124, 7.7
20160125, 10.7
20160126, 9.2
20160127, 10.9
20160128, 6.7
20160129, 8.5
20160130, 7.4
20160131, 6.8
20160201, 11.5
20160202, 8.9
20160203, 5
20160204, 5.1
20160205, 8.7
20160206, 9.4
20160207, 8.5
20160208, 8.5
20160209, 5.3
20160210, 4.8
20160211, 3.8
20160212, 2.7
20160213, 1.8
20160214, 1.4
20160215, 2.3
20160216, -0.3
20160217, -1.3
20160218, 1.3
20160219, 3.9
20160220, 8.2
20160221, 10.4
20160222, 6.8
20160223, 4.3
20160224, 2.3
20160225, 1.8
20160226, 2.1
20160227, 2.2
20160228, 2.2
20160229, 1.3
20160301, 2
20160302, 5.3
20160303, 3.9
20160304, 1
20160305, 0.5
20160306, 3
20160307, 2.5
20160308, 3.6
20160309, 4.4
20160310, 4.1
20160311, 3.2
20160312, 3.1
20160313, 3.9
20160314, 4.1
20160315, 4.6
20160316, 4.4
20160317, 5.7
20160318, 5.2
20160319, 6.2
20160320, 6.8
20160321, 7.2
20160322, 7.6
20160323, 7.6
20160324, 7.9
20160325, 6.5
20160326, 9.5
20160327, 9.1
20160328, 9.7
20160329, 7.8
20160330, 8.1
20160331, 7.6
20160401, 7.2
20160402, 10.1
20160403, 15.2
20160404, 12.4
20160405, 10.6
20160406, 8.9
20160407, 7.3
20160408, 6.7
20160409, 9.2
20160410, 10.7
20160411, 13.2
20160412, 11.6
20160413, 9
20160414, 10.6
20160415, 10.3
20160416, 8.6
20160417, 6.2
20160418, 8.1
20160419, 9.7
20160420, 8.6
20160421, 10.1
20160422, 8.7
